,movie_name,year,movie_url,filming_location,filming_country
0,The New World,2004,https://www.imdb.com/title/tt0402399/?ref_=fn_al_tt_1,"Chickahominy River, Virginia, USA",United States of America
1,Snow White,2012,https://www.imdb.com/title/tt1735898/?ref_=fn_al_tt_1,"Quiraing, Skye, Highland, Scotland, UK",United Kingdom
2,Frozen River,2008,https://www.imdb.com/title/tt0978759/?ref_=fn_al_tt_1,"Plattsburgh, New York, USA",United States of America
3,The Piano Teacher,2001,https://www.imdb.com/title/tt0254686/?ref_=fn_al_tt_1,"Vienna, Austria",Austria
4,Lourdes,2009,https://www.imdb.com/title/tt1405809/?ref_=fn_al_tt_1,"Lourdes, Hautes-Pyrénées, France",France
5,Tony Manero,2008,https://www.imdb.com/title/tt1223975/?ref_=fn_al_tt_1,"Santiago, Chile",Chile
6,The Bourne Ultimatum,2007,https://www.imdb.com/title/tt0440963/?ref_=fn_al_tt_1,"Madrid, Spain",Spain
7,These Encounters of Theirs,2006,https://www.imdb.com/title/tt0815227/?ref_=fn_al_tt_1,Italy,Italy
8,Vincere,2009,https://www.imdb.com/title/tt1156173/?ref_=fn_al_tt_1,"Trento, Trentino, Italy",Italy
9,Le quattro volte,2010,https://www.imdb.com/title/tt1646975/?ref_=fn_al_tt_1,"Caulonia, Reggio Calabria, Calabria, Italy",Italy
10,The Profession of Arms,2001,https://www.imdb.com/title/tt0245276/?ref_=fn_al_tt_1,Bulgaria,Bulgaria
11,Gostanza da Libbiano,2000,https://www.imdb.com/title/tt0257726/?ref_=fn_al_tt_1,"San Miniato, Pisa, Tuscany, Italy",Italy
14,Sangue,2013,https://www.imdb.com/title/tt2442560/?ref_=fn_al_tt_1,"Port Sunlight, Wirral, Merseyside, England, UK",United Kingdom
17,Black Swan,2010,https://www.imdb.com/title/tt0947798/?ref_=fn_al_tt_1,"The Concert Hall, Performing Arts Center, Purchase College, State University Of New York at Purchase, Purchase, New York, USA",United States of America
