,movie_name,year,search_url,movie_url,filming_location
0,The New World,2004,https://www.imdb.com/find?q=The+New+World+2004&ref_=nv_sr_sm,https://www.imdb.com/title/tt0402399/?ref_=fn_al_tt_1,"Chickahominy River, Virginia, USA"
1,Snow White,2012,https://www.imdb.com/find?q=Snow+White+2012&ref_=nv_sr_sm,https://www.imdb.com/title/tt1735898/?ref_=fn_al_tt_1,"Quiraing, Skye, Highland, Scotland, UK"
2,Frozen River,2008,https://www.imdb.com/find?q=Frozen+River+2008&ref_=nv_sr_sm,https://www.imdb.com/title/tt0978759/?ref_=fn_al_tt_1,"Plattsburgh, New York, USA"
3,The Piano Teacher,2001,https://www.imdb.com/find?q=The+Piano+Teacher+2001&ref_=nv_sr_sm,https://www.imdb.com/title/tt0254686/?ref_=fn_al_tt_1,"Vienna, Austria"
4,Lourdes,2009,https://www.imdb.com/find?q=Lourdes+2009&ref_=nv_sr_sm,https://www.imdb.com/title/tt1405809/?ref_=fn_al_tt_1,"Lourdes, Hautes-Pyrénées, France"
5,Tony Manero,2008,https://www.imdb.com/find?q=Tony+Manero+2008&ref_=nv_sr_sm,https://www.imdb.com/title/tt1223975/?ref_=fn_al_tt_1,"Santiago, Chile"
6,The Bourne Ultimatum,2007,https://www.imdb.com/find?q=The+Bourne+Ultimatum+2007&ref_=nv_sr_sm,https://www.imdb.com/title/tt0440963/?ref_=fn_al_tt_1,"Madrid, Spain"
7,These Encounters of Theirs,2006,https://www.imdb.com/find?q=These+Encounters+of+Theirs+2006&ref_=nv_sr_sm,https://www.imdb.com/title/tt0815227/?ref_=fn_al_tt_1,Italy
8,Vincere,2009,https://www.imdb.com/find?q=Vincere+2009&ref_=nv_sr_sm,https://www.imdb.com/title/tt1156173/?ref_=fn_al_tt_1,"Trento, Trentino, Italy"
9,Le quattro volte,2010,https://www.imdb.com/find?q=Le+quattro+volte+2010&ref_=nv_sr_sm,https://www.imdb.com/title/tt1646975/?ref_=fn_al_tt_1,"Caulonia, Reggio Calabria, Calabria, Italy"
10,The Profession of Arms,2001,https://www.imdb.com/find?q=The+Profession+of+Arms+2001&ref_=nv_sr_sm,https://www.imdb.com/title/tt0245276/?ref_=fn_al_tt_1,Bulgaria
11,Gostanza da Libbiano,2000,https://www.imdb.com/find?q=Gostanza+da+Libbiano+2000&ref_=nv_sr_sm,https://www.imdb.com/title/tt0257726/?ref_=fn_al_tt_1,"San Miniato, Pisa, Tuscany, Italy"
12,Storia di una donna amata e di un assassino gentile,2009,https://www.imdb.com/find?q=Storia+di+una+donna+amata+e+di+un+assassino+gentile+2009&ref_=nv_sr_sm,ERROR,ERROR
13,At the First Breath of Wind,2003,https://www.imdb.com/find?q=At+the+First+Breath+of+Wind+2003&ref_=nv_sr_sm,https://www.imdb.com/title/tt0328825/?ref_=fn_al_tt_1,ERROR
14,Sangue,2013,https://www.imdb.com/find?q=Sangue+2013&ref_=nv_sr_sm,https://www.imdb.com/title/tt2442560/?ref_=fn_al_tt_1,"Port Sunlight, Wirral, Merseyside, England, UK"
15,Terra,2015,https://www.imdb.com/find?q=Terra+2015&ref_=nv_sr_sm,https://www.imdb.com/title/tt5733210/?ref_=fn_al_tt_1,ERROR
16,Oh! Man,2004,https://www.imdb.com/find?q=Oh!+Man+2004&ref_=nv_sr_sm,https://www.imdb.com/title/tt0431958/?ref_=fn_al_tt_1,ERROR
17,Black Swan,2010,https://www.imdb.com/find?q=Black+Swan+2010&ref_=nv_sr_sm,https://www.imdb.com/title/tt0947798/?ref_=fn_al_tt_1,"The Concert Hall, Performing Arts Center, Purchase College, State University Of New York at Purchase, Purchase, New York, USA"
18,Tinker Tailor Soldier Spy,2011,https://www.imdb.com/find?q=Tinker+Tailor+Soldier+Spy+2011&ref_=nv_sr_sm,https://www.imdb.com/title/tt1340800/?ref_=fn_al_tt_1,"Istanbul, Turkey"
19,Primer,2004,https://www.imdb.com/find?q=Primer+2004&ref_=nv_sr_sm,https://www.imdb.com/title/tt0390384/?ref_=fn_al_tt_1,"Henley's Aircraft Services - 15841 Addison Road, Addison, Texas, USA"
20,"La commune (Paris, 1871)",2000,"https://www.imdb.com/find?q=La+commune+(Paris,+1871)+2000&ref_=nv_sr_sm",https://www.imdb.com/title/tt0257497/?ref_=fn_al_tt_1,ERROR
21,Battle in Heaven,2005,https://www.imdb.com/find?q=Battle+in+Heaven+2005&ref_=nv_sr_sm,https://www.imdb.com/title/tt0387055/?ref_=fn_al_tt_1,"Mexico City, Distrito Federal, Mexico"
22,Inland Empire,2006,https://www.imdb.com/find?q=Inland+Empire+2006&ref_=nv_sr_sm,https://www.imdb.com/title/tt0460829/?ref_=fn_al_tt_1,"Lódz, Lódzkie, Poland"
23,A Single Man,2009,https://www.imdb.com/find?q=A+Single+Man+2009&ref_=nv_sr_sm,https://www.imdb.com/title/tt1315981/?ref_=fn_al_tt_1,"Vasquez Rocks Natural Area Park - 10700 W. Escondido Canyon Rd., Agua Dulce, California, USA"
24,This Is the End,2013,https://www.imdb.com/find?q=This+Is+the+End+2013&ref_=nv_sr_sm,https://www.imdb.com/title/tt1245492/?ref_=fn_al_tt_1,"New Orleans, Louisiana, USA"
25,Almayer's Folly,2011,https://www.imdb.com/find?q=Almayer's+Folly+2011&ref_=nv_sr_sm,https://www.imdb.com/title/tt1532530/?ref_=fn_al_tt_1,Cambodia
26,Bamboozled,2000,https://www.imdb.com/find?q=Bamboozled+2000&ref_=nv_sr_sm,https://www.imdb.com/title/tt0215545/?ref_=fn_al_tt_1,"New York City, New York, USA"
27,Anomalisa,2015,https://www.imdb.com/find?q=Anomalisa+2015&ref_=nv_sr_sm,https://www.imdb.com/title/tt2401878/?ref_=fn_al_tt_1,ERROR
28,Madagascar 3: Europe's Most Wanted,2012,https://www.imdb.com/find?q=Madagascar+3:+Europe's+Most+Wanted+2012&ref_=nv_sr_sm,https://www.imdb.com/title/tt1277953/?ref_=fn_al_tt_1,ERROR
