,0,1,2,3,4,5
0,Sam Adams,Freelance film critic,US,In the Mood for Love,Wong Kar-wai,2000
1,Sam Adams,Freelance film critic,US,Eternal Sunshine of the Spotless Mind,Michel Gondry,2004
2,Sam Adams,Freelance film critic,US,Syndromes and a Century,Apichatpong Weerasethakul,2006
3,Sam Adams,Freelance film critic,US,Spirited Away,Hayao Miyazaki,2001
4,Sam Adams,Freelance film critic,US,The Act of Killing,Joshua Oppenheimer,2012
5,Sam Adams,Freelance film critic,US,The Grand Budapest Hotel,Wes Anderson,2014
6,Sam Adams,Freelance film critic,US,The New World,Terrence Malick,2004
7,Sam Adams,Freelance film critic,US,Certified Copy,Abbas Kiarostami,2010
8,Sam Adams,Freelance film critic,US,The World,Jia Zhangke,2004
9,Sam Adams,Freelance film critic,US,Elephant,Gus Van Sant,2003
10,Thelma Adams,Freelance film critic,US,Zero Dark Thirty,Kathryn Bigelow,2012
11,Thelma Adams,Freelance film critic,US,A History of Violence,David Cronenberg,2005
12,Thelma Adams,Freelance film critic,US,The Grand Budapest Hotel,Wes Anderson,2014
13,Thelma Adams,Freelance film critic,US,Stories We Tell,Sarah Polley,2012
14,Thelma Adams,Freelance film critic,US,Casino Royale,Martin Campbell,2006
15,Thelma Adams,Freelance film critic,US,Eternal Sunshine of the Spotless Mind,Michel Gondry,2004
16,Thelma Adams,Freelance film critic,US,Tabu,Miguel Gomes,2012
17,Thelma Adams,Freelance film critic,US,Snow White,Pablo Berger,2012
18,Thelma Adams,Freelance film critic,US,Frozen River,Courtney Hunt,2008
19,Thelma Adams,Freelance film critic,US,Gosford Park,Robert Altman,2001
20,Arturo Aguilar,Rolling Stone Mexico,Mexico,In the Mood for Love,Wong Kar-wai,2000
21,Arturo Aguilar,Rolling Stone Mexico,Mexico,Mulholland Drive,David Lynch,2001
22,Arturo Aguilar,Rolling Stone Mexico,Mexico,Inception,Christopher Nolan,2010
23,Arturo Aguilar,Rolling Stone Mexico,Mexico,Pan's Labyrinth,Guillermo Del Toro,2006
24,Arturo Aguilar,Rolling Stone Mexico,Mexico,Caché,Michael Haneke,2005
25,Arturo Aguilar,Rolling Stone Mexico,Mexico,Grizzly Man,Werner Herzog,2005
26,Arturo Aguilar,Rolling Stone Mexico,Mexico,"4 Months, 3 Weeks &amp; 2 Days",Cristian Mungiu,2007
27,Arturo Aguilar,Rolling Stone Mexico,Mexico,Holy Motors,Leos Carax,2012
28,Arturo Aguilar,Rolling Stone Mexico,Mexico,The Last of the Unjust,Claude Lanzmann,2013
29,Arturo Aguilar,Rolling Stone Mexico,Mexico,There Will Be Blood,Paul Thomas Anderson,2007
30,Matthew Anderson,BBC Culture,UK,The Piano Teacher,Michael Haneke,2001
31,Matthew Anderson,BBC Culture,UK,Margaret,Kenneth Lonergan,2011
32,Matthew Anderson,BBC Culture,UK,American Psycho,Mary Harron,2000
33,Matthew Anderson,BBC Culture,UK,"4 Months, 3 Weeks &amp; 2 Days",Cristian Mungiu,2007
34,Matthew Anderson,BBC Culture,UK,Caché,Michael Haneke,2005
35,Matthew Anderson,BBC Culture,UK,Mulholland Drive,David Lynch,2001
36,Matthew Anderson,BBC Culture,UK,Lourdes,Jessica Hausner,2009
37,Matthew Anderson,BBC Culture,UK,Red Road,Andrea Arnold,2006
38,Matthew Anderson,BBC Culture,UK,Boyhood,Richard Linklater,2014
39,Matthew Anderson,BBC Culture,UK,Tony Manero,Pablo Larraín,2008
40,Tim Appelo,The Wrap,US,No Country For Old Men,Joel and Ethan Coen,2007
41,Tim Appelo,The Wrap,US,Spirited Away,Hayao Miyazaki,2001
42,Tim Appelo,The Wrap,US,A Separation,Asghar Farhadi,2011
43,Tim Appelo,The Wrap,US,Pan's Labyrinth,Guillermo Del Toro,2006
44,Tim Appelo,The Wrap,US,Finding Nemo,Andrew Stanton and Lee Unkrich,2003
45,Tim Appelo,The Wrap,US,Hero,Zhang Yimou,2002
46,Tim Appelo,The Wrap,US,The Wolf of Wall Street,Martin Scorsese,2013
47,Tim Appelo,The Wrap,US,Mother,Bong Joon-ho,2009
48,Tim Appelo,The Wrap,US,The Bourne Ultimatum,Paul Greengrass,2007
49,Tim Appelo,The Wrap,US,Traffic,Steven Soderbergh,2000
